record_id,parcel_id,tehsil,land_area_sqm,owner_name,purpose_of_use,record_status,updated_at,municipal_property_id,building_register_status
ULB-102,PAR-102,Tehsil-Alpha,89600,Owner_A,residential,active,2026-08-20,MP-102,registered
ULB-103,PAR-103,Tehsil-Alpha,70000,Owner_B,mixed_use,active,2026-08-20,MP-103,registered
ULB-104,PAR-104,Tehsil-Alpha,85400,Owner_C,mixed_use,active,2026-08-20,MP-104,registered
ULB-105,PAR-105,Tehsil-Beta,73750,Owner_D,residential,active,2026-08-20,MP-105,registered
ULB-106,PAR-106,Tehsil-Beta,93000,Owner_E_ULB,industrial,active,2026-08-20,MP-106,registered
ULB-107,PAR-107,Tehsil-Alpha,69600,Owner_F,residential,active,2026-08-20,MP-107,registered
ULB-108,PAR-108,Tehsil-Alpha,46400,Owner_G,residential,active,2026-08-20,MP-108,registered
ULB-109,PAR-109,Tehsil-Beta,72800,Owner_H,residential,active,2026-08-20,MP-109,registered
ULB-110,PAR-110,Tehsil-Beta,87000,Owner_I,commercial,active,2026-08-20,MP-110,registered
ULB-111,PAR-111,Tehsil-Beta,87000,Owner_J,residential,active,2026-08-20,MP-111,registered
