record_id,parcel_id,tehsil,land_area_sqm,owner_name,purpose_of_use,record_status,updated_at,registration_id,registration_status
REG-102,PAR-102,Tehsil-Alpha,89600,Owner_A,residential,registered,2026-08-01,REGDOC-102,registered
REG-103,PAR-103,Tehsil-Alpha,70000,Owner_B,residential,registered,2026-08-01,REGDOC-103,registered
REG-104,PAR-104,Tehsil-Alpha,85400,Owner_C_Registered,mixed_use,registered,2026-08-01,REGDOC-104,registered
REG-105,PAR-105,Tehsil-Beta,73750,Owner_D,residential,registered,2026-08-01,REGDOC-105,registered
REG-106,PAR-106,Tehsil-Beta,93000,Owner_E,industrial,registered,2026-08-01,REGDOC-106,registered
REG-107,PAR-107,Tehsil-Alpha,69600,Owner_F,residential,registered,2026-08-01,REGDOC-107,registered
REG-108,PAR-108,Tehsil-Alpha,46400,Owner_G,,registered,2026-08-01,REGDOC-108,registered
REG-109,PAR-109,Tehsil-Beta,72800,Owner_H,residential,registered,2026-08-01,REGDOC-109,registered
REG-110,PAR-110,Tehsil-Beta,87000,Owner_I,commercial,registered,2026-08-01,REGDOC-110,registered
REG-111,PAR-111,Tehsil-Beta,87000,Owner_J,residential,registered,2026-08-01,REGDOC-111,registered
